,date,FFR
5845,1984-08-26,11.5
5846,1984-08-27,11.5
5847,1984-08-28,11.5
5848,1984-08-29,11.5
5849,1984-08-30,11.5
5850,1984-08-31,11.5
5851,1984-09-01,11.5
5852,1984-09-02,11.5
5853,1984-09-03,11.5
5854,1984-09-04,11.5
5855,1984-09-05,11.5
5856,1984-09-06,11.5
5857,1984-09-07,11.5
5858,1984-09-08,11.5
5859,1984-09-09,11.5
5860,1984-09-10,11.5
5861,1984-09-11,11.5
5862,1984-09-12,11.5
5863,1984-09-13,11.5
5864,1984-09-14,11.5
5865,1984-09-15,11.5
5866,1984-09-16,11.5
5867,1984-09-17,11.5
5868,1984-09-18,11.5
5869,1984-09-19,11.5
5870,1984-09-20,11.25
5871,1984-09-21,11.25
5872,1984-09-22,11.25
5873,1984-09-23,11.25
5874,1984-09-24,11.25
5875,1984-09-25,11.25
5876,1984-09-26,11.25
5877,1984-09-27,11.0
5878,1984-09-28,11.0
5879,1984-09-29,11.0
5880,1984-09-30,11.0
5881,1984-10-01,11.0
5882,1984-10-02,11.0
5883,1984-10-03,11.0
5884,1984-10-04,11.0
5885,1984-10-05,11.0
5886,1984-10-06,11.0
5887,1984-10-07,11.0
5888,1984-10-08,11.0
5889,1984-10-09,11.0
5890,1984-10-10,11.0
5891,1984-10-11,10.5
5892,1984-10-12,10.5
5893,1984-10-13,10.5
5894,1984-10-14,10.5
5895,1984-10-15,10.5
5896,1984-10-16,10.5
5897,1984-10-17,10.5
5898,1984-10-18,10.0
5899,1984-10-19,10.0
5900,1984-10-20,10.0
5901,1984-10-21,10.0
5902,1984-10-22,10.0
5903,1984-10-23,10.0
5904,1984-10-24,10.0
5905,1984-10-25,10.0
5906,1984-10-26,10.0
5907,1984-10-27,10.0
5908,1984-10-28,10.0
5909,1984-10-29,10.0
5910,1984-10-30,10.0
5911,1984-10-31,10.0
5912,1984-11-01,10.0
5913,1984-11-02,10.0
5914,1984-11-03,10.0
5915,1984-11-04,10.0
5916,1984-11-05,10.0
5917,1984-11-06,10.0
5918,1984-11-07,10.0
5919,1984-11-08,9.5
5920,1984-11-09,9.5
5921,1984-11-10,9.5
5922,1984-11-11,9.5
5923,1984-11-12,9.5
5924,1984-11-13,9.5
5925,1984-11-14,9.5
5926,1984-11-15,9.5
5927,1984-11-16,9.5
5928,1984-11-17,9.5
5929,1984-11-18,9.5
5930,1984-11-19,9.5
5931,1984-11-20,9.5
5932,1984-11-21,9.5
5933,1984-11-22,9.5
5934,1984-11-23,9.0
5935,1984-11-24,9.0
5936,1984-11-25,9.0
5937,1984-11-26,9.0
5938,1984-11-27,9.0
5939,1984-11-28,9.0
5940,1984-11-29,9.0
5941,1984-11-30,9.0
5942,1984-12-01,9.0
5943,1984-12-02,9.0
5944,1984-12-03,9.0
5945,1984-12-04,9.0
5946,1984-12-05,9.0
5947,1984-12-06,8.75
5948,1984-12-07,8.75
5949,1984-12-08,8.75
5950,1984-12-09,8.75
5951,1984-12-10,8.75
5952,1984-12-11,8.75
5953,1984-12-12,8.75
5954,1984-12-13,8.75
5955,1984-12-14,8.75
5956,1984-12-15,8.75
5957,1984-12-16,8.75
5958,1984-12-17,8.75
5959,1984-12-18,8.75
5960,1984-12-19,8.5
5961,1984-12-20,8.5
5962,1984-12-21,8.5
5963,1984-12-22,8.5
5964,1984-12-23,8.5
5965,1984-12-24,8.125
5966,1984-12-25,8.125
5967,1984-12-26,8.125
5968,1984-12-27,8.125
5969,1984-12-28,8.125
5970,1984-12-29,8.125
5971,1984-12-30,8.125
5972,1984-12-31,8.125
5973,1985-01-01,8.125
5974,1985-01-02,8.125
5975,1985-01-03,8.125
5976,1985-01-04,8.125
5977,1985-01-05,8.125
5978,1985-01-06,8.125
5979,1985-01-07,8.125
5980,1985-01-08,8.125
5981,1985-01-09,8.125
5982,1985-01-10,8.125
5983,1985-01-11,8.125
5984,1985-01-12,8.125
5985,1985-01-13,8.125
5986,1985-01-14,8.125
5987,1985-01-15,8.125
5988,1985-01-16,8.125
5989,1985-01-17,8.125
5990,1985-01-18,8.125
5991,1985-01-19,8.125
5992,1985-01-20,8.125
